review,label,movie,lr_predicted_label,mismatch
Outstanding performance! Ocean's Mystery is definitely worth watching.,Positive,Ocean's Mystery,Neutral,True
One of the best films I've seen! Endless Night was incredible and moving.,Positive,Endless Night,Neutral,True
Loved every second of Broken Promises. Perfect entertainment!,Positive,Broken Promises,Neutral,True
Amazing! Midnight Rain captured my heart completely.,Positive,Midnight Rain,Neutral,True
Simply wonderful! Starlight Echo is a must-watch.,Positive,Starlight Echo,Neutral,True
Amazing! Eternal Fire captured my heart completely.,Positive,Eternal Fire,Neutral,True
Loved every second of Starlight Echo. Perfect entertainment!,Positive,Starlight Echo,Neutral,True
Beautiful and engaging - The Cosmic Journey is a gem!,Positive,The Cosmic Journey,Neutral,True
One of the best films I've seen! Desert Rose was incredible and moving.,Positive,Desert Rose,Neutral,True
Beautiful and engaging - Endless Night is a gem!,Positive,Endless Night,Neutral,True
Simply wonderful! Endless Night is a must-watch.,Positive,Endless Night,Neutral,True
One of the best films I've seen! Morning Glory was incredible and moving.,Positive,Morning Glory,Neutral,True
Loved every second of Morning Glory. Perfect entertainment!,Positive,Morning Glory,Neutral,True
Loved every second of The Cosmic Journey. Perfect entertainment!,Positive,The Cosmic Journey,Neutral,True
One of the best films I've seen! Urban Dreams was incredible and moving.,Positive,Urban Dreams,Neutral,True
Amazing! Silent Shadows captured my heart completely.,Positive,Silent Shadows,Neutral,True
Simply wonderful! Desert Rose is a must-watch.,Positive,Desert Rose,Neutral,True
Exceptional screenplay and acting in Desert Rose!,Positive,Desert Rose,Neutral,True
Fantastic film! Ocean's Mystery exceeded all my expectations.,Positive,Ocean's Mystery,Neutral,True
Simply wonderful! Morning Glory is a must-watch.,Positive,Morning Glory,Neutral,True
Beautiful and engaging - Desert Rose is a gem!,Positive,Desert Rose,Neutral,True
Fantastic film! Mountain Peak exceeded all my expectations.,Positive,Mountain Peak,Neutral,True
Fantastic film! Broken Promises exceeded all my expectations.,Positive,Broken Promises,Neutral,True
Amazing! Ocean's Mystery captured my heart completely.,Positive,Ocean's Mystery,Neutral,True
Exceptional screenplay and acting in Silent Shadows!,Positive,Silent Shadows,Neutral,True
Fantastic film! Eternal Fire exceeded all my expectations.,Positive,Eternal Fire,Neutral,True
Fantastic film! Crystal Palace exceeded all my expectations.,Positive,Crystal Palace,Neutral,True
Loved every second of Sunset Boulevard. Perfect entertainment!,Positive,Sunset Boulevard,Neutral,True
Loved every second of Thunder Storm. Perfect entertainment!,Positive,Thunder Storm,Neutral,True
Beautiful and engaging - Broken Promises is a gem!,Positive,Broken Promises,Neutral,True
Beautiful and engaging - Morning Glory is a gem!,Positive,Morning Glory,Neutral,True
Simply wonderful! Thunder Storm is a must-watch.,Positive,Thunder Storm,Neutral,True
Exceptional screenplay and acting in Ocean's Mystery!,Positive,Ocean's Mystery,Neutral,True
Loved every second of Endless Night. Perfect entertainment!,Positive,Endless Night,Neutral,True
One of the best films I've seen! Thunder Storm was incredible and moving.,Positive,Thunder Storm,Neutral,True
Beautiful and engaging - Thunder Storm is a gem!,Positive,Thunder Storm,Neutral,True
One of the best films I've seen! Starlight Echo was incredible and moving.,Positive,Starlight Echo,Neutral,True
Exceptional screenplay and acting in Starlight Echo!,Positive,Starlight Echo,Neutral,True
Loved every second of Desert Rose. Perfect entertainment!,Positive,Desert Rose,Neutral,True
Fantastic film! Morning Glory exceeded all my expectations.,Positive,Morning Glory,Neutral,True
Exceptional screenplay and acting in Mountain Peak!,Positive,Mountain Peak,Neutral,True
Beautiful and engaging - Starlight Echo is a gem!,Positive,Starlight Echo,Neutral,True
Outstanding performance! Eternal Fire is definitely worth watching.,Positive,Eternal Fire,Neutral,True
Outstanding performance! Endless Night is definitely worth watching.,Positive,Endless Night,Neutral,True
Loved every second of Frozen Heart. Perfect entertainment!,Positive,Frozen Heart,Neutral,True
Fantastic film! Desert Rose exceeded all my expectations.,Positive,Desert Rose,Neutral,True
Outstanding performance! Morning Glory is definitely worth watching.,Positive,Morning Glory,Neutral,True
Exceptional screenplay and acting in Crystal Palace!,Positive,Crystal Palace,Neutral,True
Amazing! The Cosmic Journey captured my heart completely.,Positive,The Cosmic Journey,Neutral,True
Amazing! Frozen Heart captured my heart completely.,Positive,Frozen Heart,Neutral,True
Frustrating mess. Broken Promises failed on every level.,Negative,Broken Promises,Neutral,True
Pathetic screenplay. Frozen Heart was dreadful.,Negative,Frozen Heart,Neutral,True
Frustrating mess. Urban Dreams failed on every level.,Negative,Urban Dreams,Neutral,True
Disappointing and dull. Crystal Palace missed the mark.,Negative,Crystal Palace,Neutral,True
Disappointing and dull. Thunder Storm missed the mark.,Negative,Thunder Storm,Neutral,True
Bad acting and weak plot in Urban Dreams.,Negative,Urban Dreams,Neutral,True
Boring! Desert Rose had no redeeming qualities.,Negative,Desert Rose,Neutral,True
Boring! Endless Night had no redeeming qualities.,Negative,Endless Night,Neutral,True
I disliked Morning Glory very much. Poor plot and acting.,Negative,Morning Glory,Neutral,True
Unwatchable! Thunder Storm was poorly executed.,Negative,Thunder Storm,Neutral,True
Pathetic screenplay. Eternal Fire was dreadful.,Negative,Eternal Fire,Neutral,True
Unwatchable! Silent Shadows was poorly executed.,Negative,Silent Shadows,Neutral,True
Unwatchable! The Cosmic Journey was poorly executed.,Negative,The Cosmic Journey,Neutral,True
Horrible production. Sunset Boulevard is not recommended.,Negative,Sunset Boulevard,Neutral,True
Frustrating mess. The Cosmic Journey failed on every level.,Negative,The Cosmic Journey,Neutral,True
Bad acting and weak plot in Starlight Echo.,Negative,Starlight Echo,Neutral,True
Unwatchable! Morning Glory was poorly executed.,Negative,Morning Glory,Neutral,True
Pathetic screenplay. Crystal Palace was dreadful.,Negative,Crystal Palace,Neutral,True
Frustrating mess. Crystal Palace failed on every level.,Negative,Crystal Palace,Neutral,True
Disappointing and dull. Morning Glory missed the mark.,Negative,Morning Glory,Neutral,True
Unwatchable! Mountain Peak was poorly executed.,Negative,Mountain Peak,Neutral,True
Frustrating mess. Desert Rose failed on every level.,Negative,Desert Rose,Neutral,True
Horrible production. The Cosmic Journey is not recommended.,Negative,The Cosmic Journey,Neutral,True
Boring! Eternal Fire had no redeeming qualities.,Negative,Eternal Fire,Neutral,True
Boring! Silent Shadows had no redeeming qualities.,Negative,Silent Shadows,Neutral,True
Disappointing and dull. Sunset Boulevard missed the mark.,Negative,Sunset Boulevard,Neutral,True
Bad acting and weak plot in Endless Night.,Negative,Endless Night,Neutral,True
Frustrating mess. Thunder Storm failed on every level.,Negative,Thunder Storm,Neutral,True
Bad acting and weak plot in Sunset Boulevard.,Negative,Sunset Boulevard,Neutral,True
Disappointing and dull. Urban Dreams missed the mark.,Negative,Urban Dreams,Neutral,True
Pathetic screenplay. Silent Shadows was dreadful.,Negative,Silent Shadows,Neutral,True
Bad acting and weak plot in Crystal Palace.,Negative,Crystal Palace,Neutral,True
I disliked Silent Shadows very much. Poor plot and acting.,Negative,Silent Shadows,Neutral,True
Horrible production. Desert Rose is not recommended.,Negative,Desert Rose,Neutral,True
Frustrating mess. Ocean's Mystery failed on every level.,Negative,Ocean's Mystery,Neutral,True
Horrible production. Endless Night is not recommended.,Negative,Endless Night,Neutral,True
Bad acting and weak plot in Mountain Peak.,Negative,Mountain Peak,Neutral,True
Horrible production. Ocean's Mystery is not recommended.,Negative,Ocean's Mystery,Neutral,True
Boring! Starlight Echo had no redeeming qualities.,Negative,Starlight Echo,Neutral,True
I disliked The Cosmic Journey very much. Poor plot and acting.,Negative,The Cosmic Journey,Neutral,True
Unwatchable! Endless Night was poorly executed.,Negative,Endless Night,Neutral,True
I disliked Crystal Palace very much. Poor plot and acting.,Negative,Crystal Palace,Neutral,True
I disliked Starlight Echo very much. Poor plot and acting.,Negative,Starlight Echo,Neutral,True
Horrible production. Silent Shadows is not recommended.,Negative,Silent Shadows,Neutral,True
Bad acting and weak plot in Morning Glory.,Negative,Morning Glory,Neutral,True
Pathetic screenplay. Thunder Storm was dreadful.,Negative,Thunder Storm,Neutral,True
Unwatchable! Midnight Rain was poorly executed.,Negative,Midnight Rain,Neutral,True
Pathetic screenplay. Broken Promises was dreadful.,Negative,Broken Promises,Neutral,True
Horrible production. Frozen Heart is not recommended.,Negative,Frozen Heart,Neutral,True
Frustrating mess. Morning Glory failed on every level.,Negative,Morning Glory,Neutral,True
Horrible production. Broken Promises is not recommended.,Negative,Broken Promises,Neutral,True
I disliked Broken Promises very much. Poor plot and acting.,Negative,Broken Promises,Neutral,True
Frustrating mess. Sunset Boulevard failed on every level.,Negative,Sunset Boulevard,Neutral,True
Bad acting and weak plot in The Cosmic Journey.,Negative,The Cosmic Journey,Neutral,True
Boring! Frozen Heart had no redeeming qualities.,Negative,Frozen Heart,Neutral,True
Disappointing and dull. Broken Promises missed the mark.,Negative,Broken Promises,Neutral,True
Pathetic screenplay. The Cosmic Journey was dreadful.,Negative,The Cosmic Journey,Neutral,True
Pathetic screenplay. Endless Night was dreadful.,Negative,Endless Night,Neutral,True
Unwatchable! Frozen Heart was poorly executed.,Negative,Frozen Heart,Neutral,True
Frustrating mess. Frozen Heart failed on every level.,Negative,Frozen Heart,Neutral,True
Horrible production. Midnight Rain is not recommended.,Negative,Midnight Rain,Neutral,True
Frustrating mess. Midnight Rain failed on every level.,Negative,Midnight Rain,Neutral,True
Bad acting and weak plot in Eternal Fire.,Negative,Eternal Fire,Neutral,True
Disappointing and dull. Starlight Echo missed the mark.,Negative,Starlight Echo,Neutral,True
I disliked Endless Night very much. Poor plot and acting.,Negative,Endless Night,Neutral,True
Bad acting and weak plot in Ocean's Mystery.,Negative,Ocean's Mystery,Neutral,True
