review,label,hindi,back_translated,bleu_score,quality_flag
I was hooked from the very first minute. I can't wait to see it again.,Positive,मैं पहले मिनट से ही आदी हो गया था। मैं इसे दोबारा देखने के लिए इंतजार नहीं कर सकता.,I was hooked from the first minute. I can't wait to see it again.,0.9129,PASS
This movie is a triumph in every sense. Highly recommended for everyone.,Positive,यह फिल्म हर दृष्टि से एक विजय है। सभी के लिए अत्यधिक अनुशंसित.,This film is a triumph in every sense. Highly recommended for all.,0.7703,PASS
The lead actor delivered a heartwarming performance. A cinematic masterpiece.,Positive,मुख्य अभिनेता ने दिल छू लेने वाला प्रदर्शन किया। एक सिनेमाई उत्कृष्ट कृति.,The lead actor gave a heart-touching performance. A cinematic masterpiece.,0.7282,PASS
I was hooked from the very first minute. Do yourself a favor and go see this.,Positive,मैं पहले मिनट से ही आदी हो गया था। अपने आप पर एक एहसान करो और इसे देखने जाओ।,I was hooked from the first minute. Do yourself a favor and go see it.,0.8245,PASS
It perfectly balances humor and drama. This movie is a triumph in every sense.,Positive,यह हास्य और नाटक को पूरी तरह संतुलित करता है। यह फिल्म हर दृष्टि से एक विजय है।,It balances comedy and drama perfectly. This film is a triumph in every sense.,0.6831,PASS
This movie is a triumph in every sense. I will be thinking about this for days.,Positive,यह फिल्म हर दृष्टि से एक विजय है। मैं कई दिनों तक इस बारे में सोचता रहूंगा.,This film is a triumph in every sense. I will be thinking about this for days.,0.9129,PASS
It perfectly balances humor and drama. I was hooked from the very first minute.,Positive,यह हास्य और नाटक को पूरी तरह संतुलित करता है। मैं पहले मिनट से ही आदी हो गया था।,It balances comedy and drama perfectly. I was hooked from the first minute.,0.6832,PASS
An absolute joy to watch from start to finish. Highly recommended for everyone.,Positive,शुरू से अंत तक देखने में परम आनंद आया। सभी के लिए अत्यधिक अनुशंसित.,An absolute joy to watch from beginning to end. Highly recommended for all.,0.6761,PASS
It perfectly balances humor and drama. I was completely blown away by this film.,Positive,यह हास्य और नाटक को पूरी तरह संतुलित करता है। मैं इस फिल्म से पूरी तरह अभिभूत हो गया था।,It balances comedy and drama perfectly. I was completely enthralled by this film.,0.6158,PASS
I didn't expect to enjoy this as much as I did. Highly recommended for everyone.,Positive,मुझे उम्मीद नहीं थी कि मुझे इसका इतना आनंद मिलेगा। सभी के लिए अत्यधिक अनुशंसित.,I didn't expect to enjoy it so much. Highly recommended for all.,0.5536,PASS
"Wow, just wow. The chemistry between the cast was refreshing. Two thumbs way up.",Positive,"वाह, बस वाह. कलाकारों के बीच की केमिस्ट्री ताज़ा थी। दो अंगूठे ऊपर की ओर.","Wow, just wow. The chemistry between the actors was refreshing. Two thumbs up.",0.8245,PASS
I was hooked from the very first minute. It deserves all the awards it's getting.,Positive,मैं पहले मिनट से ही आदी हो गया था। यह इसे मिलने वाले सभी पुरस्कारों का हकदार है।,I was hooked from the first minute. It deserves all the awards it gets.,0.7643,PASS
"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.",Positive,"वाह, बस वाह. यह हास्य और नाटक को पूरी तरह संतुलित करता है। इस शैली के प्रशंसकों के लिए अवश्य देखें।","Wow, just wow. It balances comedy and drama perfectly. A must-watch for fans of the genre.",0.8367,PASS
"Every scene felt earned, and the opening scene was heartwarming. A cinematic masterpiece.",Positive,हर दृश्य में कमाई हुई महसूस हुई और शुरुआती दृश्य दिल छू लेने वाला था। एक सिनेमाई उत्कृष्ट कृति.,Every scene felt earned and the opening scene was heart-touching. A cinematic masterpiece.,0.8011,PASS
The lead actor delivered a gripping performance. I was hooked from the very first minute.,Positive,मुख्य अभिनेता ने मनोरंजक प्रदर्शन किया। मैं पहले मिनट से ही आदी हो गया था।,The lead actor gave an entertaining performance. I was hooked from the first minute.,0.6914,PASS
"The lead actor delivered a flawless performance. Finally, a movie that respects the audience.",Positive,"मुख्य अभिनेता ने बेहतरीन अभिनय किया। अंततः, एक ऐसी फिल्म जो दर्शकों का सम्मान करती है।","The lead actor did a great job. Ultimately, a film that respects the audience.",0.5557,PASS
It managed to be phenomenal without trying too hard. I was completely blown away by this film.,Positive,बिना ज्यादा मेहनत किए यह अभूतपूर्व होने में कामयाब रहा। मैं इस फिल्म से पूरी तरह अभिभूत हो गया था।,It managed to be phenomenal without trying too hard. I was completely enthralled by this film.,0.8635,PASS
The visual effects were superb and added so much depth. This movie is a triumph in every sense.,Positive,दृश्य प्रभाव शानदार थे और इसमें बहुत अधिक गहराई थी। यह फिल्म हर दृष्टि से एक विजय है।,The visual effects were spectacular and had a lot of depth. This film is a triumph in every sense.,0.6268,PASS
"It managed to be flawless without trying too hard. Finally, a movie that respects the audience.",Positive,"यह बहुत अधिक प्रयास किए बिना दोषरहित होने में कामयाब रहा। अंततः, एक ऐसी फिल्म जो दर्शकों का सम्मान करती है।","It managed to be flawless without trying too hard. Ultimately, a film that respects the audience.",0.8342,PASS
The lead actor delivered a memorable performance. An absolute joy to watch from start to finish.,Positive,मुख्य अभिनेता ने यादगार प्रदर्शन किया। शुरू से अंत तक देखने में परम आनंद आया।,The lead actor gave a memorable performance. An absolute joy to watch from beginning to end.,0.7343,PASS
"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.",Positive,"वाह, बस वाह. हर दृश्य में कमाई हुई महसूस हुई, और पोशाक डिजाइन उत्कृष्ट था। दो अंगूठे ऊपर की ओर.","Wow, just wow. Every scene felt earned, and the costume design was excellent. Two thumbs up.",0.8579,PASS
It managed to be breathtaking without trying too hard. I was completely blown away by this film.,Positive,यह बहुत अधिक प्रयास किए बिना लुभावनी होने में कामयाब रहा। मैं इस फिल्म से पूरी तरह अभिभूत हो गया था।,It managed to be breathtaking without trying too hard. I was completely enthralled by this film.,0.8635,PASS
The visual effects were stellar and added so much depth. I was hooked from the very first minute.,Positive,दृश्य प्रभाव शानदार थे और इसमें बहुत अधिक गहराई थी। मैं पहले मिनट से ही आदी हो गया था।,The visual effects were spectacular and had a lot of depth. I was hooked from the first minute.,0.6589,PASS
"Wow, just wow. The chemistry between the cast was refreshing. A must-watch for fans of the genre.",Positive,"वाह, बस वाह. कलाकारों के बीच की केमिस्ट्री ताज़ा थी। इस शैली के प्रशंसकों के लिए अवश्य देखें।","Wow, just wow. The chemistry between the actors was refreshing. A must-watch for fans of the genre.",0.9258,PASS
"Wow, just wow. I particularly loved how the pacing was handled. A must-watch for fans of the genre.",Positive,"वाह, बस वाह. मुझे विशेष रूप से पसंद आया कि गति को कैसे नियंत्रित किया गया। इस शैली के प्रशंसकों के लिए अवश्य देखें।","Wow, just wow. I especially liked how the speed was controlled. A must-watch for fans of the genre.",0.7385,PASS
The visual effects were delightful and added so much depth. I was hooked from the very first minute.,Positive,दृश्य प्रभाव आनंददायक थे और इसमें बहुत अधिक गहराई शामिल थी। मैं पहले मिनट से ही आदी हो गया था।,The visual effects were enjoyable and added a lot of depth. I was hooked from the first minute.,0.7108,PASS
Total garbage. Do not bother.,Negative,कुल कचरा. ध्यान न देना।,Total garbage. neglect.,0.4239,PASS
Total garbage. A complete misfire.,Negative,कुल कचरा. एक पूर्ण मिसफायर.,Total garbage. A complete misfire.,1.0,PASS
Total garbage. I walked out halfway through.,Negative,कुल कचरा. मैं आधे रास्ते से बाहर चला गया।,Total garbage. I walked out halfway.,0.817,PASS
Total garbage. Zero stars if I could give it.,Negative,कुल कचरा. यदि मैं इसे दे सकूं तो शून्य सितारे।,Total garbage. Zero stars if I could give it.,1.0,PASS
A frustrating experience. Avoid this at all costs.,Negative,एक निराशाजनक अनुभव. इससे हर कीमत पर बचें.,A disappointing experience. Avoid this at all costs.,0.8367,PASS
I want my two hours back. It’s a hard pass from me.,Negative,मुझे अपने दो घंटे वापस चाहिए। यह मेरे लिए एक कठिन मार्ग है।,I want my two hours back. This is a difficult path for me.,0.5401,PASS
"Neither good nor bad, just exists. It is what it is.",Negative,"न अच्छा, न बुरा, बस अस्तित्व में है। जो है सो है।","Neither good, nor bad, just exists. It is what it is.",0.8944,PASS
The trailer was better than the movie. Do not bother.,Negative,फिल्म से बेहतर ट्रेलर था. ध्यान न देना।,The trailer was better than the movie. neglect.,0.685,PASS
The soundtrack was frankly disjointed. Total garbage.,Negative,साउंडट्रैक स्पष्ट रूप से असंबद्ध था। कुल कचरा.,The soundtrack was apparently unconvincing. Total garbage.,0.6972,PASS
I have never been so bored in my life. Do not bother.,Negative,मैं अपने जीवन में कभी इतना बोर नहीं हुआ। ध्यान न देना।,I have never been so bored in my life. neglect.,0.7331,PASS
An absolute train wreck of a movie. A complete misfire.,Negative,किसी फिल्म का बिल्कुल रेल हादसा। एक पूर्ण मिसफायर.,Quite the trainwreck of a movie. A complete misfire.,0.6515,PASS
A refreshing take on a tired genre. A definitive 10/10.,Negative,एक थकी हुई शैली पर एक ताज़ा प्रस्तुति। एक निश्चित 10/10.,A refreshing take on a tired genre. A definite 10/10.,0.866,PASS
Total garbage. Save your money and watch something else.,Negative,कुल कचरा. अपना पैसा बचाएं और कुछ और देखें।,Total garbage. Save your money and watch something else.,1.0,PASS
The opening scene was frankly unbearable. Total garbage.,Negative,शुरूआती दृश्य सचमुच असहनीय था। कुल कचरा.,The initial scene was truly unbearable. Total garbage.,0.6667,PASS
I want my two hours back. Zero stars if I could give it.,Negative,मुझे अपने दो घंटे वापस चाहिए। यदि मैं इसे दे सकूं तो शून्य सितारे।,I want my two hours back. Zero stars if I could give it.,1.0,PASS
A frustrating experience. Zero stars if I could give it.,Negative,एक निराशाजनक अनुभव. यदि मैं इसे दे सकूं तो शून्य सितारे।,A disappointing experience. Zero stars if I could give it.,0.866,PASS
I struggled to sit through the first half. Do not bother.,Negative,पहले हाफ में मुझे बैठने के लिए संघर्ष करना पड़ा। ध्यान न देना।,I struggled to sit for the first half. neglect.,0.5842,PASS
The CGI distracted me from everything else. Total garbage.,Negative,सीजीआई ने मेरा ध्यान बाकी सभी चीजों से हटा दिया। कुल कचरा.,The CGI distracted me from everything else. Total garbage.,1.0,PASS
An absolute train wreck of a movie. Utterly disappointing.,Negative,किसी फिल्म का बिल्कुल रेल हादसा। एकदम निराशाजनक.,Quite the trainwreck of a movie. Absolutely disappointing.,0.4673,PASS
I have never been so bored in my life. A complete misfire.,Negative,मैं अपने जीवन में कभी इतना बोर नहीं हुआ। एक पूर्ण मिसफायर.,I have never been so bored in my life. A complete misfire.,1.0,PASS
A cinematic masterpiece. A must-watch for fans of the genre.,Negative,एक सिनेमाई उत्कृष्ट कृति. इस शैली के प्रशंसकों के लिए अवश्य देखें।,A cinematic masterpiece. A must-watch for fans of the genre.,1.0,PASS
"Simply put, this is cinema at its finest. Two thumbs way up.",Negative,सीधे शब्दों में कहें तो यह सिनेमा अपने चरम पर है। दो अंगूठे ऊपर की ओर.,"Simply put, this is cinema at its peak. Two thumbs up.",0.7869,PASS
What a complete waste of potential. It’s a hard pass from me.,Negative,क्षमता की कितनी पूर्ण बर्बादी है। यह मेरे लिए एक कठिन मार्ग है।,What a complete waste of potential. This is a difficult path for me.,0.5401,PASS
A cinematic masterpiece. Do yourself a favor and go see this.,Negative,एक सिनेमाई उत्कृष्ट कृति. अपने आप पर एक एहसान करो और इसे देखने जाओ।,A cinematic masterpiece. Do yourself a favor and go see it.,0.8771,PASS
I have never been so bored in my life. Utterly disappointing.,Negative,मैं अपने जीवन में कभी इतना बोर नहीं हुआ। एकदम निराशाजनक.,I have never been so bored in my life. Absolutely disappointing.,0.8771,PASS
I struggled to sit through the first half. A complete misfire.,Negative,पहले हाफ में मुझे बैठने के लिए संघर्ष करना पड़ा। एक पूर्ण मिसफायर.,I struggled to sit for the first half. A complete misfire.,0.8771,PASS
The direction was frankly uninspired. I want my two hours back.,Negative,दिशा स्पष्ट रूप से उदासीन थी। मुझे अपने दो घंटे वापस चाहिए।,Disha was clearly disinterested. I want my two hours back.,0.6356,PASS
A strange experience overall. It’s definitely not for everyone.,Negative,कुल मिलाकर एक अजीब अनुभव. यह निश्चित रूप से हर किसी के लिए नहीं है।,Overall a strange experience. It's definitely not for everyone.,0.7027,PASS
I have mixed feelings about this one. Good for a one-time watch.,Negative,इसके बारे में मेरी मिश्रित भावनाएँ हैं। एक बार देखने के लिए अच्छा है।,I have mixed feelings about it. Nice to see once.,0.3899,PASS
A refreshing take on a tired genre. I can't wait to see it again.,Negative,एक थकी हुई शैली पर एक ताज़ा प्रस्तुति। मैं इसे दोबारा देखने के लिए इंतजार नहीं कर सकता.,A refreshing take on a tired genre. I can't wait to see it again.,1.0,PASS
The screenplay was frankly pretentious. A frustrating experience.,Negative,पटकथा स्पष्ट रूप से दिखावटी थी। एक निराशाजनक अनुभव.,The script was clearly pretentious. A disappointing experience.,0.483,PASS
"Neither good nor bad, just exists. If you're bored, give it a shot.",Negative,"न अच्छा, न बुरा, बस अस्तित्व में है। यदि आप ऊब गए हैं, तो इसे एक बार आज़माएँ।","Neither good, nor bad, just exists. If you are bored, give it a try.",0.7493,PASS
I struggled to sit through the first half. Avoid this at all costs.,Negative,पहले हाफ में मुझे बैठने के लिए संघर्ष करना पड़ा। इससे हर कीमत पर बचें.,I struggled to sit for the first half. Avoid this at all costs.,0.8944,PASS
Nothing about the acting worked. What a complete waste of potential.,Negative,अभिनय को लेकर कोई बात काम नहीं आई। क्षमता की कितनी पूर्ण बर्बादी है।,Nothing worked regarding acting. What a complete waste of potential.,0.7027,PASS
I have never been so bored in my life. Zero stars if I could give it.,Negative,मैं अपने जीवन में कभी इतना बोर नहीं हुआ। यदि मैं इसे दे सकूं तो शून्य सितारे।,I have never been so bored in my life. Zero stars if I could give it.,1.0,PASS
I couldn't get past the disjointed lighting. I want my two hours back.,Negative,मैं असंबद्ध रोशनी से आगे नहीं बढ़ सका। मुझे अपने दो घंटे वापस चाहिए।,I couldn't move beyond the disjointed lights. I want my two hours back.,0.736,PASS
I walked in with low expectations and they were met. It is what it is.,Negative,मैं कम उम्मीदों के साथ आया था और वे पूरी हुईं। जो है सो है।,I came with low expectations and they were met. It is what it is.,0.8468,PASS
"Simply put, this is cinema at its finest. I can't wait to see it again.",Negative,सीधे शब्दों में कहें तो यह सिनेमा अपने चरम पर है। मैं इसे दोबारा देखने के लिए इंतजार नहीं कर सकता.,"Simply put, this is cinema at its peak. I can't wait to see it again.",0.9177,PASS
Nothing about the direction worked. What a complete waste of potential.,Negative,दिशा के बारे में कुछ भी काम नहीं आया. क्षमता की कितनी पूर्ण बर्बादी है।,Nothing about direction worked. What a complete waste of potential.,0.8772,PASS
"Neither good nor bad, just exists. Wait for it to come out on streaming.",Negative,"न अच्छा, न बुरा, बस अस्तित्व में है। इसके स्ट्रीमिंग पर आने का इंतज़ार करें।","Neither good, nor bad, just exists. Wait for it to arrive on streaming.",0.8135,PASS
"It was... fine. If you're bored, give it a shot.",Neutral,"यह... ठीक था. यदि आप ऊब गए हैं, तो इसे एक बार आज़माएँ।","It was...okay. If you are bored, give it a try.",0.6761,PASS
I have mixed feelings about this one. 6/10 at best.,Neutral,इसके बारे में मेरी मिश्रित भावनाएँ हैं। सर्वोत्तम रूप से 6/10.,I have mixed feelings about it. 6/10 at best.,0.7787,PASS
I am confused about how I feel. It left me puzzled.,Neutral,मैं इस बात को लेकर असमंजस में हूं कि मैं कैसा महसूस करता हूं। इसने मुझे हैरान कर दिया।,I'm confused about how I feel. This surprised me.,0.5372,PASS
It doesn't leave a lasting impression. It was... fine.,Neutral,यह कोई स्थायी प्रभाव नहीं छोड़ता. यह... ठीक था.,It does not leave any lasting effect. It was...okay.,0.4804,PASS
"The screenplay was okay, but forgettable. It was... fine.",Neutral,"पटकथा ठीक थी, लेकिन भूलने योग्य थी। यह... ठीक था.","The script was okay, but forgettable. It was...okay.",0.7511,PASS
A strange experience overall. A polarizing experience for sure.,Neutral,कुल मिलाकर एक अजीब अनुभव. निश्चित रूप से एक ध्रुवीकरण अनुभव।,Overall a strange experience. Certainly a polarizing experience.,0.5723,PASS
"Neither good nor bad, just exists. Acceptable, but forgettable.",Neutral,"न अच्छा, न बुरा, बस अस्तित्व में है। स्वीकार्य, लेकिन भूलने योग्य.","Neither good, nor bad, just exists. Acceptable, but forgettable.",0.8864,PASS
"The soundtrack was decent, but nothing special. It was... fine.",Neutral,"साउंडट्रैक अच्छा था, लेकिन कुछ खास नहीं। यह... ठीक था.","The soundtrack was good, but nothing special. It was...okay.",0.7703,PASS
I am confused about how I feel. A polarizing experience for sure.,Neutral,मैं इस बात को लेकर असमंजस में हूं कि मैं कैसा महसूस करता हूं। निश्चित रूप से एक ध्रुवीकरण अनुभव।,I'm confused about how I feel. Certainly a polarizing experience.,0.6505,PASS
I am confused about how I feel. Your mileage may vary significantly.,Neutral,मैं इस बात को लेकर असमंजस में हूं कि मैं कैसा महसूस करता हूं। आपका माइलेज काफी भिन्न हो सकता है।,I'm confused about how I feel. Your mileage may vary greatly.,0.7703,PASS
It follows the standard formula without taking risks. It was... fine.,Neutral,यह जोखिम उठाए बिना मानक फॉर्मूले का पालन करता है। यह... ठीक था.,It follows the standard formula without taking risks. It was...okay.,0.8864,PASS
"The acting is fine, but the final act is a bit generic. It was... fine.",Neutral,"अभिनय अच्छा है, लेकिन अंतिम अभिनय थोड़ा सामान्य है। यह... ठीक था.","The acting is good, but the final act is a bit generic. It was...okay.",0.8342,PASS
"The pacing was okay, but forgettable. Middle of the road entertainment.",Neutral,"गति ठीक थी, लेकिन भूलने योग्य थी। बीच सड़क मनोरंजन.","The pacing was fine, but forgettable. Beach street entertainment.",0.5414,PASS
It doesn't leave a lasting impression. Middle of the road entertainment.,Neutral,यह कोई स्थायी प्रभाव नहीं छोड़ता. बीच सड़क मनोरंजन.,It does not leave any lasting effect. Beach street entertainment.,0.2757,FAIL
"It serves its purpose as popcorn filler. If you're bored, give it a shot.",Neutral,"यह पॉपकॉर्न फिलर के रूप में अपना उद्देश्य पूरा करता है। यदि आप ऊब गए हैं, तो इसे एक बार आज़माएँ।","It serves its purpose as a popcorn filler. If you are bored, give it a try.",0.7493,PASS
"Great concept, but the execution was wooden. A strange experience overall.",Neutral,"महान अवधारणा, लेकिन कार्यान्वयन लकड़ी का था। कुल मिलाकर एक अजीब अनुभव.","Great concept, but the execution was wooden. Overall a strange experience.",0.8771,PASS
Standard fare for this type of movie. Wait for it to come out on streaming.,Neutral,इस प्रकार की फ़िल्म के लिए मानक किराया. इसके स्ट्रीमिंग पर आने का इंतज़ार करें।,Standard fare for this type of movie. Wait for it to arrive on streaming.,0.8468,PASS
I have mixed feelings about this one. You won't remember it a week from now.,Neutral,इसके बारे में मेरी मिश्रित भावनाएँ हैं। अब से एक सप्ताह बाद आपको यह याद नहीं रहेगा।,I have mixed feelings about it. You won't remember this a week from now.,0.8166,PASS
"The story arc was okay, but forgettable. Standard fare for this type of movie.",Neutral,"कहानी का आर्क ठीक था, लेकिन भूलने योग्य था। इस प्रकार की फ़िल्म के लिए मानक किराया.","The story arc was okay, but forgettable. Standard fare for this type of movie.",1.0,PASS
This is a very difficult movie to categorize. A polarizing experience for sure.,Neutral,इसे वर्गीकृत करना बहुत कठिन फिल्म है। निश्चित रूप से एक ध्रुवीकरण अनुभव।,This is a very difficult film to classify. Certainly a polarizing experience.,0.5607,PASS
